,group,team
0,Group A,Uruguay
1,Group A,Russia
2,Group A,Saudi Arabia
3,Group A,Egypt
4,Group B,Spain
5,Group B,Portugal
6,Group B,IR Iran
7,Group B,Morocco
8,Group C,France
9,Group C,Denmark
10,Group C,Peru
11,Group C,Australia
12,Group D,Croatia
13,Group D,Argentina
14,Group D,Nigeria
15,Group D,Iceland
16,Group E,Brazil
17,Group E,Switzerland
18,Group E,Serbia
19,Group E,Costa Rica
20,Group F,Sweden
21,Group F,Mexico
22,Group F,Korea Republic
23,Group F,Germany
24,Group G,Belgium
25,Group G,England
26,Group G,Tunisia
27,Group G,Panama
28,Group H,Colombia
29,Group H,Japan
30,Group H,Senegal
31,Group H,Poland
